Geo_Name,state_code,survey_year,Tax_Type,state_rev,fed_rev,diff,ratio,est_pop,percap_r_gdp,state_gdp
United States,0,2018,Total Taxes,"1,031,001,198",3465500000,2434498802,0.702495687,326687501,56968,18638164
Alabama,01,2018,Total Taxes,"11,055,577",26700000,15644423,0.585933446,4887681,40598,198435.9
Alaska,02,2018,Total Taxes,"1,641,733",5300000,3658267,0.690239057,735139,71996,53092.4
Arizona,03,2018,Total Taxes,"16,293,917",46200000,29906083,0.647317814,7158024,43464,311705.6
Arkansas,04,2018,Total Taxes,"9,843,173",32000000,22156827,0.692400844,3009733,38919,117293.8
California,05,2018,Total Taxes,"175,016,884",456600000,281583116,0.616695392,39461588,68803,2721651
Colorado,06,2018,Total Taxes,"14,802,263",58700000,43897737,0.747831976,5691287,59885,341076.7
Connecticut,07,2018,Total Taxes,"19,081,475",53700000,34618525,0.64466527,3571520,68555,244925.7
Delaware,08,2018,Total Taxes,"4,219,706",19000000,14780294,0.777910211,965479,64895,62764.7
DC,09,2018,Total Taxes,"7,959,386",28400000,20440614,0.71973993,701547,176498,123981.6
Florida,10,2018,Total Taxes,"45,961,204",205700000,159738796,0.776561964,21244317,43423,924873.3
Georgia,11,2018,Total Taxes,"23,602,510",92800000,69197490,0.745662608,10511131,50288,528998.9
Hawaii,12,2018,Total Taxes,"7,714,451",9600000,1885549,0.196411354,1420593,58185,82651.9
Idaho,13,2018,Total Taxes,"4,848,359",10900000,6051641,0.555196422,1750536,40189,70500.4
Illinois,14,2018,Total Taxes,"39,857,069",161200000,121342931,0.752747711,12723071,60419,769800.6
Indiana,15,2018,Total Taxes,"19,397,879",58700000,39302121,0.669542095,6695497,49209,329298.8
Iowa,16,2018,Total Taxes,"10,088,480",25100000,15011520,0.598068526,3148618,54520,172072
Kansas,17,2018,Total Taxes,"9,546,790",25800000,16253210,0.62996938,2911359,53094,154582.7
Kentucky,18,2018,Total Taxes,"12,059,970",34800000,22740030,0.653449138,4461153,41898,187215.5
Louisiana,19,2018,Total Taxes,"11,357,686",42000000,30642314,0.729578905,4659690,50938,237372.2
Maine,20,2018,Total Taxes,"4,410,632",7900000,3489368,0.441692152,1339057,42925,57450.4
